step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="high-trust-high-accuracy-s1",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="8",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="10",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
21,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.212569772063778,9.126108396531508,4.307210231292924,0.5018474946334073,0.041926078250888156,0.9588162426632516,0.6340517003220615
22,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.212569772063778,9.126108396531508,4.307210231292924,0.5017410356536128,0.041926078250888156,0.9588162426632516,0.6340517003220615
23,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.212569772063778,9.126108396531508,4.307210231292924,0.5016419389678455,0.041926078250888156,0.9588162426632516,0.6340517003220615
24,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.212569772063778,9.126108396531508,4.307210231292924,0.5015496427273264,0.041926078250888156,0.9588162426632516,0.6340517003220615
25,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.212569772063778,9.126108396531508,4.307210231292924,0.5014636091127747,0.041926078250888156,0.9588162426632516,0.6340517003220615
26,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.212569772063778,9.166108396531508,4.307210231292924,0.5021922657305802,0.041926078250888156,0.9471275709407307,0.6340517003220615
27,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.212569772063778,9.166108396531508,4.307210231292924,0.5021134099887306,0.041926078250888156,0.9471275709407307,0.6340517003220615
28,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.212569772063778,9.166108396531508,4.307210231292924,0.5020404593864738,0.041926078250888156,0.9471275709407307,0.6340517003220615
29,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.215852639226307,9.166108396531508,4.307210231292924,0.5021259780259926,0.04159734606585379,0.9471275709407307,0.6340517003220615
30,run_1746380959,2025-05-04 13:49:19,high-trust-high-accuracy-s1,"100","3","5","1","small_world","75","high-trust-high-accuracy-s1","0","2.5","3","8","3","8","3","8","5","5","8","-3","3","6","1","0.7","-4","4","4","1","0.5","1","10","1","0.6","4","0.1","3","0.1",5.215852639226307,9.186108396531509,4.307210231292924,0.5025304729204968,0.04159734606585379,0.9400832350794708,0.6340517003220615
