step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="low-trust-low-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="1",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
11,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.822188771844093,0.7,4.338244901116455,0.4904343604819033,0.6468109767687413,0.20999999999999994,0.31674378478283666
12,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.822188771844093,0.7,4.338244901116455,0.4903964235718698,0.6468109767687413,0.20999999999999994,0.31674378478283666
13,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.822188771844093,0.7,4.338244901116455,0.490352995215646,0.6468109767687413,0.20999999999999994,0.31674378478283666
14,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.840138751605479,0.7,4.338244901116455,0.4904826525300416,0.6491924087094428,0.20999999999999994,0.31674378478283666
15,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.840138751605479,0.69,4.338244901116455,0.48992196970728225,0.6491924087094428,0.21389999999999992,0.31674378478283666
16,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.840138751605479,0.69,4.338244901116455,0.48983691788895334,0.6491924087094428,0.21389999999999992,0.31674378478283666
17,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.856089564074747,0.69,4.338244901116455,0.4902625472698421,0.6475790307839382,0.21389999999999992,0.31674378478283666
18,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.856089564074747,0.69,4.338244901116455,0.49013553508159724,0.6475790307839382,0.21389999999999992,0.31674378478283666
19,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.856089564074747,0.69,4.338244901116455,0.49002165800732195,0.6475790307839382,0.21389999999999992,0.31674378478283666
20,run_1746380190,2025-05-04 13:36:30,low-trust-low-accuracy-s2,"100","3","5","1","small_world","75","low-trust-low-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","1","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","4","0.1","3","0.1",5.856089564074747,0.69,4.338244901116455,0.48991988842714257,0.6475790307839382,0.21389999999999992,0.31674378478283666
