step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="small-world-high-s3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="1",government_publication_rate="1",government_influence_reach="0.6",small_world_k="8",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
64,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.4271346859997563,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
65,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.4271288099353531,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
66,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.4271236177802045,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
67,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.42711906902110236,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
68,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.42711512555898407,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
69,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.427111751542704,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
70,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.42710891321619004,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
71,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.4271065787777972,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
72,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.42710471825077856,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
73,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.4271033033638945,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
74,run_1746381470,2025-05-04 13:57:50,small-world-high-s3,"100","3","5","1","small_world","75","small-world-high-s3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","1","1","0.6","8","0.1","3","0.1",5.002220688588975,4.179217573220311,4.882433262546039,0.42710230744126576,5.758005625425174e-06,1.9794300794332325,0.007913377880708295
